SYMBOL,NAME OF COMPANY,SERIES,ISIN NUMBER
BANKINDIA,Bank of India,EQ,INE084A01016
BANSALWIRE,Bansal Wire Industries Limited,EQ,INE0B9K01025
BANSWRAS,Banswara Syntex Limited,EQ,INE629D01020
BASF,BASF India Limited,EQ,INE373A01013
BATAINDIA,Bata India Limited,EQ,INE176A01028
BATLIBOI,Batliboi Limited,EQ,INE177C01022
BAYERCROP,Bayer Cropscience Limited,EQ,INE462A01022
BBL,Bharat Bijlee Limited,EQ,INE464A01036
BBOX,Black Box Limited,EQ,INE676A01027
BBTC,The Bombay Burmah Trading Corporation Limited,EQ,INE050A01025
BBTCL,B&B Triplewall Containers Limited,EQ,INE01EE01011
BCG,Brightcom Group Limited,EQ,INE425B01027
BCLIND,Bcl Industries Limited,EQ,INE412G01024
BCONCEPTS,Brand Concepts Limited,EQ,INE977Y01011
BCPL,BCPL Railway Infrastructure Limited,EQ,INE00SW01015
BDL,Bharat Dynamics Limited,EQ,INE171Z01026
BEARDSELL,Beardsell Limited,EQ,INE520H01022
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,INE495P01020
BEDMUTHA,Bedmutha Industries Limited,EQ,INE844K01012
BEEKAY,Beekay Steel Industries Limited,EQ,INE213D01015
BEL,Bharat Electronics Limited,EQ,INE263A01024
BELLACASA,Bella Casa Fashion & Retail Limited,EQ,INE344T01014
BELRISE,Belrise Industries Limited,EQ,INE894V01022
BEML,BEML Limited,EQ,INE258A01024
BENGALASM,Bengal & Assam Company Limited,EQ,INE083K01017
BEPL,Bhansali Engineering Polymers Limited,EQ,INE922A01025
BERGEPAINT,Berger Paints (I) Limited,EQ,INE463A01038
BESTAGRO,Best Agrolife Limited,EQ,INE052T01021
BETA,Beta Drugs Limited,EQ,INE351Y01019
BFINVEST,BF Investment Limited,EQ,INE878K01010
BFUTILITIE,BF Utilities Limited,EQ,INE243D01012
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,INE414D01027
BHAGYANGR,Bhagyanagar India Limited,EQ,INE458B01036
